RK,NAME,TEAM,SALARY
276,"Dennis Schroder, PG",Atlanta Hawks,"$1,690,680"
277,"James Young, SG",Boston Celtics,"$1,674,480"
278,"Pablo Prigioni, PG",New York Knicks,"$1,662,961"
279,"Ryan Kelly, PF",Los Angeles Lakers,"$1,650,000"
280,"Terrence Jones, PF",Houston Rockets,"$1,618,680"
RK,NAME,TEAM,SALARY
281,"Shane Larkin, PG",New York Knicks,"$1,606,080"
282,"Tyler Ennis, PG",Phoenix Suns,"$1,590,720"
283,"Andrew Nicholson, PF",Orlando Magic,"$1,545,840"
284,"Sergey Karasev, SG",Brooklyn Nets,"$1,533,840"
285,"Gary Harris, SG",Denver Nuggets,"$1,519,200"
286,"Ronny Turiaf, C",Minnesota Timberwolves,"$1,500,000"
287,"Miroslav Raduljica, C",Minnesota Timberwolves,"$1,500,000"
288,"Evan Fournier, SG",Orlando Magic,"$1,483,920"
289,"Donatas Motiejunas, PF",Houston Rockets,"$1,483,920"
290,"Tony Snell, SF",Chicago Bulls,"$1,472,400"
RK,NAME,TEAM,SALARY
291,"Bruno Caboclo, SF",Toronto Raptors,"$1,458,360"
292,"Scotty Hopson, SG",Sacramento Kings,"$1,450,878"
293,"Willie Green, SG",Orlando Magic,"$1,448,490"
294,"Mike James, PG",Chicago Bulls,"$1,448,490"
295,"Jared Sullinger, C",Boston Celtics,"$1,424,520"
296,"Gorgui Dieng, C",Minnesota Timberwolves,"$1,413,480"
297,"Mitch McGary, PF",Oklahoma City Thunder,"$1,400,040"
298,"Victor Claver, PF",Portland Trail Blazers,"$1,370,000"
299,"Mason Plumlee, C",Brooklyn Nets,"$1,357,080"
300,"Jordan Adams, SG",Memphis Grizzlies,"$1,344,120"
RK,NAME,TEAM,SALARY
301,"Melvin Ely, C",Washington Wizards,"$1,316,809"
302,"John Jenkins, SG",Atlanta Hawks,"$1,312,920"
303,"Josh Powell, PF",Milwaukee Bucks,"$1,310,286"
304,"Ronnie Brewer, SF",Chicago Bulls,"$1,310,286"
305,"Solomon Hill, SF",Indiana Pacers,"$1,302,840"
306,"Rodney Hood, SG",Utah Jazz,"$1,290,360"
307,"Alan Anderson, SG",Brooklyn Nets,"$1,276,061"
308,"Tim Hardaway Jr., SG",New York Knicks,"$1,250,640"
309,"Hasheem Thabeet, C",Detroit Pistons,"$1,250,000"
310,"Pero Antic, PF",Atlanta Hawks,"$1,250,000"
RK,NAME,TEAM,SALARY
311,"Shabazz Napier, PG",Miami Heat,"$1,238,640"
312,"Aaron Gray, C",Detroit Pistons,"$1,227,985"
313,"Shawne Williams, SF",Miami Heat,"$1,227,985"
