Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Line,O/U,DK,FD
277,Draymond Green,24-277,F,12/6/2014,GSW,@,CHI,W,1,41,11,20,0.550,4,7,0.571,7,13,0.54,2,2,1.00,0,7,7,3,4,3,1,3,31,29.5,-2.5,204,61.25,56.90
105,Russell Westbrook,26-123,G,3/15/2015,OKC,,CHI,W,1,41,12,27,0.444,10,21,0.476,2,6,0.33,10,13,0.77,1,10,11,6,1,0,4,1,36,25.2,-7,204,61.25,56.20
203,Russell Westbrook,26-137,G,3/29/2015,OKC,@,PHO,W,1,38,10,29,0.345,9,22,0.409,1,7,0.14,12,14,0.86,2,7,9,7,3,1,4,3,33,22.8,2,211.5,61.25,58.30
361,Kyle Lowry,28-278,G,12/28/2014,TOR,@,DEN,W,1,38,12,20,0.600,9,15,0.600,3,5,0.60,3,4,0.75,0,7,7,11,1,1,2,4,30,28.3,-2.5,214,61.25,56.90
620,LeBron James,30-082,F-G,3/22/2015,CLE,@,MIL,W,1,39,10,17,0.588,9,13,0.692,1,4,0.25,7,7,1.00,2,8,10,6,5,1,5,1,28,28.4,-7.5,196,61.00,56.00
184,Eric Bledsoe,25-043,G,1/21/2015,PHO,,POR,W,1,34,11,22,0.500,10,16,0.625,1,6,0.17,10,15,0.67,2,8,10,6,3,0,3,1,33,27.6,-7.5,211.5,61.00,57.00
332,John Wall,24-060,G,11/5/2014,WAS,,IND,W,1,43,11,21,0.524,10,18,0.556,1,3,0.33,8,9,0.89,1,5,6,10,3,1,5,2,31,27.4,-9.5,187.5,61.00,56.20
1101,John Wall,24-204,G,3/29/2015,WAS,,HOU,L,1,43,7,17,0.412,7,16,0.438,0,1,0.00,11,12,0.92,2,6,8,12,4,1,7,4,25,23.2,2,204,61.00,55.60
693,Jimmy Butler,25-099,F,12/22/2014,CHI,,TOR,W,1,44,7,16,0.438,5,13,0.385,2,3,0.67,11,11,1.00,3,8,11,4,1,5,1,1,27,29,-4,200.5,60.75,57.20
233,LeBron James,30-017,F-G,1/16/2015,CLE,@,LAC,W,1,42,11,23,0.478,8,15,0.533,3,8,0.38,7,12,0.58,0,11,11,7,3,0,9,4,32,18.9,8.5,206,60.75,52.70
1158,LeBron James,29-340,F-G,12/5/2014,CLE,@,TOR,W,1,42,9,18,0.500,7,14,0.500,2,4,0.50,4,6,0.67,0,7,7,13,3,1,4,2,24,24.3,4.5,209.5,60.75,55.90
293,Ty Lawson,27-083,G,1/25/2015,DEN,,WAS,L,1,42,10,20,0.500,7,15,0.467,3,5,0.60,8,8,1.00,2,1,3,12,3,0,2,1,31,31.7,3.5,203.5,60.75,56.60
1423,Kobe Bryant,36-129,G,12/30/2014,LAL,@,DEN,W,1,32,6,11,0.545,3,6,0.500,3,5,0.60,8,11,0.73,1,10,11,11,2,1,9,1,23,21.2,5.5,214.5,60.75,49.70
1919,Zaza Pachulia,31-038,C,3/20/2015,MIL,@,BRK,L,1,40,9,16,0.563,9,16,0.563,0,0,,4,4,1.00,18,3,21,7,1,0,3,4,22,29.2,2,193,60.75,56.70
32,DeMar DeRozan,25-235,G,3/30/2015,TOR,,HOU,W,1,41,14,27,0.519,12,23,0.522,2,4,0.50,12,17,0.71,1,10,11,1,1,1,6,2,42,26,-2,208.5,60.75,54.70
104,Stephen Curry,26-360,G,3/9/2015,GSW,@,PHO,W,1,36,14,24,0.583,7,11,0.636,7,13,0.54,1,2,0.50,3,3,6,5,4,0,4,3,36,29.7,-5.5,213.5,60.50,54.70
1528,Draymond Green,25-000,F,3/4/2015,GSW,,MIL,W,1,40,9,14,0.643,5,5,1.000,4,9,0.44,1,6,0.17,2,10,12,5,3,3,1,5,23,24.8,-13,202,60.50,55.90
88,Russell Westbrook,26-154,G,4/15/2015,OKC,@,MIN,W,1,32,11,20,0.550,9,15,0.600,2,5,0.40,13,17,0.77,0,8,8,7,2,0,4,2,37,30.3,-14,211,60.50,57.10
1287,Russell Westbrook,26-124,G,3/16/2015,OKC,@,DAL,L,1,36,7,17,0.412,6,13,0.462,1,4,0.25,9,10,0.90,1,7,8,12,4,1,7,6,24,21,6,215,60.50,54.60
2443,Michael Carter-Williams,23-057,G,12/6/2014,PHI,@,DET,W,1,45,8,12,0.667,8,12,0.667,0,0,,4,5,0.80,1,7,8,15,3,2,7,3,20,23.9,9.5,194.5,60.50,55.10
71,Kyrie Irving,22-310,G,1/27/2015,CLE,@,DET,W,1,42,13,23,0.565,7,13,0.538,6,10,0.60,6,6,1.00,1,2,3,6,3,1,3,2,38,32.5,-8.5,209.5,60.25,55.60
918,Reggie Jackson,24-345,G,3/27/2015,DET,@,ORL,W,1,31,9,19,0.474,8,17,0.471,1,2,0.50,7,9,0.78,3,8,11,10,1,0,3,0,26,25,-2.5,197.5,60.25,53.20
303,Stephen Curry,26-232,G,11/1/2014,GSW,,LAL,W,1,34,10,19,0.526,7,11,0.636,3,8,0.38,8,8,1.00,0,5,5,10,3,0,2,3,31,30,-14,210.5,60.25,56.00
8872,Russell Westbrook,26-130,G,3/22/2015,OKC,,MIA,W,1,34,5,16,0.313,4,12,0.333,1,4,0.25,1,2,0.50,3,6,9,17,4,2,5,3,12,17.4,-4,213,60.25,55.30
